Price,Close,High,Low,Open,Volume
Ticker,LLY,LLY,LLY,LLY,LLY
Date,,,,,
2022-12-09,353.80999755859375,366.56124177017006,353.6335848881555,365.5811314980573,2787200
2022-12-12,359.9454345703125,360.5138852681998,355.28991159084626,355.7113517557098,2639200
2022-12-13,351.5262756347656,365.32621203748454,351.19304180560204,354.4372036922137,5032600
2022-12-14,356.2700500488281,362.0820962314685,349.9581381035341,351.86936491672486,5095500
2022-12-15,352.84942626953125,356.73065366614236,349.59545374714537,353.4864918155768,3437100
2022-12-16,352.7121887207031,353.31007138743917,348.10568956509996,350.81077288577336,6612200
2022-12-19,350.6637878417969,352.54561238082533,347.55682568664184,350.69318994816047,2658400
2022-12-20,352.4867858886719,354.2607826518483,349.25240484017945,351.36944609630604,2276000
2022-12-21,360.6903381347656,363.30721542919474,354.02557131139633,355.4173408551966,2211200
2022-12-22,358.0440673828125,362.40556989070126,355.0841452423486,360.0140985256041,1958100
2022-12-23,360.5824890136719,360.5824890136719,355.260498508529,357.56376315669695,1030300
2022-12-27,357.6225891113281,362.3761292251583,357.08351059333813,362.1506931273893,1372100
2022-12-28,357.955810546875,360.6903260903616,356.7012708201054,358.88692710254196,996000
2022-12-29,359.7200012207031,363.57185667879907,359.1711419528407,360.77853688771415,1077900
2022-12-30,358.5634765625,360.63152443374025,354.9076551097826,360.18065225064953,1388000
2023-01-03,357.73040771484375,361.66065913756466,354.27061994987,358.97516679557395,2006700
2023-01-04,355.87799072265625,359.8180226391108,353.1728772187872,357.38736868313543,1886200
2023-01-05,351.7811584472656,354.30001887410185,345.93968024745965,353.77078091330674,2008500
2023-01-06,355.72119140625,359.4064152573828,350.46778528374654,352.8396650819007,2131300
2023-01-09,342.8719177246094,357.7107996276509,341.8526247128219,356.76009159373854,2980600
2023-01-10,345.7338562011719,346.1846984962356,336.5110160793626,342.0584431302877,2465200
2023-01-11,353.2414855957031,354.5646402160621,344.018645942837,347.29221009558677,2602800
2023-01-12,351.9772033691406,353.3297603581482,346.05732882895086,352.10462249282864,2019700
2023-01-13,354.42742919921875,356.0838177527718,351.5067200822888,352.418215347213,1690900
2023-01-17,350.6246337890625,354.79991305552505,349.45830019031445,354.4274663721478,2435200
2023-01-18,345.0086364746094,351.8595979041956,344.58716631331436,349.23290947721347,2302300
2023-01-19,344.0970458984375,348.7231668361135,343.4501995440705,345.3613963213289,2658300
2023-01-20,339.1867370605469,342.12706759958814,334.78602201458125,340.09823234910834,5391900
2023-01-23,335.4034729003906,339.71595140911677,333.4530633497833,339.71595140911677,3403100
2023-01-24,339.5003967285156,339.7356136121893,334.57041356032784,339.1181393819554,2242500
2023-01-25,342.77392578125,342.82291932340763,338.2360111036044,338.6770427147851,2503300
2023-01-26,341.0881042480469,345.1751463608006,339.83356459453455,344.01862369330644,2576200
2023-01-27,335.2957458496094,341.1665970844349,334.73707578967424,339.2259678865201,2363600
2023-01-30,333.7275390625,340.8823319004846,332.70821603077974,337.48134814738876,2647700
2023-01-31,337.3049011230469,337.54992865980785,332.6297864894591,333.903917716381,2406700
2023-02-01,335.75634765625,339.05931413893853,330.80677335816597,335.97197308977866,2990900
2023-02-02,324.1224670410156,328.63095019858235,310.69494484227107,327.35681885589446,13036600
2023-02-03,332.3357238769531,335.5210817434514,322.81886305693337,326.327674010574,5670700
2023-02-06,330.94403076171875,336.58947537579377,327.9644872253357,335.178114222275,3055700
2023-02-07,332.9237976074219,334.17833736167563,326.07283745597096,329.3659930944168,2464100
2023-02-08,333.9529113769531,336.050331351003,331.10078751423293,331.8260593869532,2399400
2023-02-09,334.99188232421875,340.4412927847547,333.7275317584505,334.109789103451,3072800
2023-02-10,338.2555847167969,341.4997466762137,335.9131371881534,336.4423750936864,1980000
2023-02-13,343.4305725097656,343.83242123939465,339.1180940587657,339.5787470014539,2291600
2023-02-14,341.7492370605469,347.90458743579615,341.4739195042264,344.67942605860037,2028900
2023-02-15,329.4090576171875,341.07075871305943,328.7600883982933,340.0678226515113,3600700
2023-02-16,320.61846923828125,327.3736054626227,320.2743148585083,325.4660377651628,3654200
2023-02-17,322.9094543457031,326.0461229415029,315.14154092956505,317.74722941627965,3695600
2023-02-21,322.0343933105469,326.1739982192606,320.87409884065323,321.6803965210019,2515600
2023-02-22,323.56829833984375,327.0392792032971,320.8740878910263,323.2143015623787,2379800
